expression,thermostability,specific activity,split,num_mutations
0.49,0.05,0.85,train,1
0.72,0.79,1.07,train,1
0.38,0.36,0.93,train,1
0.66,1.57,0.34,train,1
0.52,0.43,0.93,train,1
0.95,0.84,1.1,train,1
0.81,0.68,0.84,train,1
0.43,0.39,1.12,train,1
0.45,0.28,1.03,train,1
0.46,0.51,1.07,train,1
0.27,0.39,1.04,train,1
0.52,0.64,1.17,train,1
0.05,0.05,0.05,train,1
0.95,0.89,1.05,train,1
0.55,0.67,1.23,train,1
0.67,0.64,1.05,train,1
0.3,0.36,1.28,train,1
0.52,0.49,1.06,train,1
1.03,0.86,1.07,train,1
1.12,0.83,0.91,train,1
1.11,2.65,0.32,train,1
0.79,0.87,1.25,train,1
1.18,0.74,0.75,train,1
1.08,0.95,0.88,train,1
0.63,0.88,1.74,train,1
1.16,1.05,0.92,train,1
1.928,3.215,1.751749834,test,1
2.061,3.361,2.453,test,3
2.01,3.323,2.252,test,3
0.957,1.465,0.96,test,4
2.263,4.936,1.766,test,3
1.993,3.724,2.118,test,2
2.109,3.345,2.217,test,2
1.18,1,0.99,train,1
1.09,0.89,0.95,train,1
0.45,0.14,1.12,train,1
1.14,1.06,1.15,train,1
1.18,1.06,0.95,train,1
0.05,0.05,0.05,train,1
0.78,0.4,1.03,train,1
0.92,0.89,1.2,train,1
1.14,1.02,0.96,train,1
1.1,1,0.93,train,1
0.7,0.62,1.17,train,1
0.44,0.69,1.05,train,1
0.69,0.75,1.1,train,1
0.05,0.05,0.05,train,1
0.51,0.76,1.03,train,1
0.05,0.05,0.05,train,1
0.29,0.63,1.84,train,1
0.63,0.67,0.97,train,1
0.06,0.23,3.2,train,1
0.16,0.48,1.93,train,1
0.56,0.74,1.23,train,1
1.16,0.94,0.97,train,1
0.59,0.73,1.1,train,1
0.54,0.58,1.06,train,1
0.91,0.86,1,train,1
0.72,0.72,1.11,train,1
0.51,0.78,1.77,train,1
0.24,0.21,1.46,train,1
0.55,0.65,1.03,train,1
0.94,0.87,0.83,train,1
0.14,0.82,0.96,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.88,0.91,1.22,train,1
0.08,1.13,0.48,train,1
0.77,0.83,1.4,train,1
0.05,0.05,0.05,train,1
1.01,0.66,0.7,train,1
0.54,0.77,0.97,train,1
0.45,0.8,0.87,train,1
0.06,0.85,1.1,train,1
0.05,0.05,0.05,train,1
0.87,1.01,1.09,train,1
0.86,0.85,1.15,train,1
0.82,0.86,1.28,train,1
0.05,0.05,0.05,train,1
0.8,0.92,1.08,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.74,1.01,1.11,train,1
0.05,0.05,0.05,train,1
0.32,0.96,1.4,train,1
0.05,0.05,0.05,train,1
0.58,0.97,1,train,1
0.13,0.63,1.5,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.83,0.95,1.11,train,1
0.6,0.92,1.05,train,1
0.35,0.87,1.38,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.9,0.91,1.09,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1,0.99,1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.34,0.56,1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.68,0.97,1.02,train,1
0.75,0.98,1.04,train,1
0.69,0.83,0.91,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.36,0.93,0.95,train,1
1,0.95,0.89,train,1
0.65,0.05,0.66,train,1
0.78,0.93,0.93,train,1
1.45,0.96,0.82,train,1
1.49,0.96,0.87,train,1
1.17,0.99,0.98,train,1
1.01,1.01,0.96,train,1
0.98,1,0.95,train,1
0.98,0.98,0.94,train,1
0.05,0.05,0.05,train,1
0.98,0.96,0.92,train,1
1.07,0.98,0.99,train,1
0.99,0.97,1.08,train,1
1,0.98,0.93,train,1
0.97,0.97,0.87,train,1
0.91,0.96,0.78,train,1
0.82,0.96,0.95,train,1
0.95,1.01,0.94,train,1
0.3,0.88,0.75,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.35,0.98,0.98,train,1
0.05,0.05,0.05,train,1
0.42,0.82,1.08,train,1
0.05,0.05,0.05,train,1
0.72,0.88,0.83,train,1
0.52,0.9,1.1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.36,0.86,1.07,train,1
0.5,0.94,0.86,train,1
0.64,0.95,1.01,train,1
0.71,0.94,1.08,train,1
0.05,0.05,0.05,train,1
0.95,0.95,1.02,train,1
0.05,0.05,0.05,train,1
0.82,0.99,1.15,train,1
0.52,0.94,0.83,train,1
0.46,0.96,1.01,train,1
0.18,0.95,1.3,train,1
0.16,0.86,1.45,train,1
0.05,0.05,0.05,train,1
0.62,0.95,1.05,train,1
0.06,0.97,1.46,train,1
0.17,0.93,1.21,train,1
0.95,1,0.96,train,1
0.83,1,0.85,train,1
0.67,1.01,0.97,train,1
0.6,0.99,1.12,train,1
0.17,0.97,1.2,train,1
0.05,0.05,0.05,train,1
0.89,0.95,0.96,train,1
0.73,0.9,1.09,train,1
1.09,0.93,1,train,1
0.98,0.96,1.14,train,1
0.45,0.05,0.3,train,1
0.97,0.93,1.16,train,1
0.95,0.87,1.08,train,1
0.95,0.91,1.06,train,1
0.91,0.89,1.01,train,1
1.04,0.94,0.97,train,1
0.52,0.82,1.07,train,1
0.99,0.92,1.09,train,1
1.04,0.85,0.95,train,1
0.99,0.96,1.13,train,1
1.05,0.88,0.94,train,1
1.08,0.95,0.91,train,1
1.12,1.01,0.94,train,1
1.16,1.03,0.97,train,1
0.05,0.05,0.05,train,1
0.24,0.94,1.02,train,1
0.37,0.87,1.04,train,1
0.05,0.05,0.05,train,1
0.97,0.94,1.04,train,1
0.05,0.05,0.05,train,1
0.88,0.9,1.08,train,1
0.05,0.05,0.05,train,1
0.74,0.93,0.99,train,1
0.48,0.54,0.95,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.92,0.97,0.95,train,1
0.71,0.91,1.04,train,1
1.02,0.99,0.92,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.98,0.95,1.19,train,1
0.51,0.94,1.09,train,1
0.25,0.75,1.1,train,1
0.25,0.08,0.99,train,1
0.86,0.93,1.06,train,1
0.96,1.02,1.09,train,1
0.05,0.05,0.05,train,1
0.95,0.66,0.91,train,1
0.47,0.52,1.05,train,1
0.05,0.05,0.05,train,1
0.32,0.81,1.15,train,1
0.25,0.35,1.02,train,1
0.08,0.05,0.73,train,1
0.91,0.96,1.05,train,1
0.82,0.96,1.1,train,1
0.98,1.03,1,train,1
0.05,0.05,0.05,train,1
0.1,0.05,0.91,train,1
1.01,0.99,0.96,train,1
1.06,0.96,0.98,train,1
1.09,1.02,0.97,train,1
1.01,1,0.97,train,1
0.9,0.44,0.15,train,1
1.04,1.04,0.96,train,1
1.02,1,0.96,train,1
1.05,0.98,0.97,train,1
1.06,1.02,1.14,train,1
1.07,1,1.08,train,1
1.11,1,0.96,train,1
1.1,0.97,0.98,train,1
1.57,1.01,0.86,train,1
1.07,0.99,0.98,train,1
1.02,1.03,1.12,train,1
1.03,1.05,1,train,1
1.02,1.05,0.98,train,1
1.04,1.01,0.92,train,1
0.05,0.05,0.05,train,1
0.89,0.96,1.01,train,1
0.12,0.91,0.39,train,1
0.12,0.95,0.63,train,1
0.38,0.93,0.7,train,1
0.14,0.89,0.52,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.31,0.91,0.74,train,1
0.17,0.9,0.9,train,1
0.58,0.94,0.89,train,1
0.17,0.92,0.67,train,1
0.05,0.05,0.05,train,1
0.11,0.9,0.5,train,1
0.91,1.01,0.98,train,1
1.13,1,0.99,train,1
0.66,1,0.97,train,1
0.05,0.05,0.05,train,1
0.16,0.96,0.82,train,1
0.9,0.9,1.13,train,1
1.03,0.89,0.92,train,1
0.48,1.44,0.74,train,1
1.03,0.93,0.95,train,1
0.94,0.97,0.9,train,1
1.03,0.99,1.04,train,1
0.96,0.99,1.13,train,1
0.98,0.95,1.01,train,1
0.98,0.95,0.99,train,1
0.91,0.96,1.16,train,1
1.02,0.95,1.04,train,1
1,0.94,0.98,train,1
0.98,0.98,1.03,train,1
0.95,0.98,1.04,train,1
0.94,0.97,1,train,1
1.14,0.98,1.04,train,1
1.06,0.93,1.03,train,1
0.96,0.99,1.04,train,1
1,1,1.18,train,1
1.07,0.97,1.03,train,1
1.02,0.89,1.03,train,1
0.81,0.98,1,train,1
1,0.95,1.02,train,1
1.01,0.98,1.03,train,1
1.01,0.96,1.07,train,1
0.95,0.97,1.05,train,1
1.04,0.98,0.98,train,1
1.01,0.95,1,train,1
1,0.95,0.87,train,1
0.97,0.99,1.26,train,1
1.16,0.98,0.95,train,1
0.74,0.12,0.65,train,1
0.88,0.97,1,train,1
0.95,0.99,0.9,train,1
0.94,0.93,1.05,train,1
1.12,1.02,0.9,train,1
1.16,1.02,0.88,train,1
0.94,0.96,1.02,train,1
1.07,0.97,0.91,train,1
0.93,0.98,0.96,train,1
1.01,0.98,0.98,train,1
0.99,0.92,0.64,train,1
1.18,0.97,0.89,train,1
1,0.93,1.01,train,1
0.93,0.94,0.98,train,1
0.05,0.05,0.05,train,1
0.99,0.96,0.97,train,1
0.45,0.91,0.53,train,1
0.98,0.99,1,train,1
1.01,0.97,0.87,train,1
1.01,0.98,1.1,train,1
0.91,0.98,0.86,train,1
1.05,0.99,1.05,train,1
0.93,0.87,1.01,train,1
0.36,0.87,1.21,train,1
0.31,2.23,0.3,train,1
0.05,0.05,0.05,train,1
0.48,0.88,1.02,train,1
0.13,0.85,0.8,train,1
0.49,0.94,0.94,train,1
0.35,0.85,1.03,train,1
0.13,0.71,1.43,train,1
1.01,0.98,1.04,train,1
0.05,0.05,0.05,train,1
0.21,0.8,0.75,train,1
0.05,0.05,0.05,train,1
0.92,0.91,0.97,train,1
1.04,0.99,0.94,train,1
0.46,0.91,1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.59,0.57,1.14,train,1
1.22,0.94,0.87,train,1
1.26,0.93,0.99,train,1
1.01,0.93,1.01,train,1
1.05,0.96,1,train,1
1.03,0.97,1.04,train,1
1.04,0.87,0.97,train,1
0.77,0.94,1.28,train,1
0.98,0.92,1.05,train,1
1.21,0.75,1.4,train,1
0.97,0.95,1.06,train,1
1.2,0.96,0.88,train,1
1.19,0.92,0.85,train,1
1.03,0.93,1.05,train,1
0.98,0.97,1.11,train,1
1.05,0.99,0.9,train,1
0.92,0.97,0.96,train,1
0.95,0.98,1.02,train,1
1.07,0.95,1.08,train,1
0.08,0.86,2.49,train,1
1.2,1,1,train,1
0.8,0.95,1.08,train,1
0.88,1.01,1.33,train,1
0.78,1,1.38,train,1
0.75,0.96,1.06,train,1
1.18,0.97,0.94,train,1
1.1,0.98,0.97,train,1
1.08,0.69,0.92,train,1
0.98,0.91,1.05,train,1
0.05,0.05,0.05,train,1
0.93,0.99,1.16,train,1
1.12,0.99,0.9,train,1
0.72,0.99,1.02,train,1
0.61,0.83,1.2,train,1
0.82,0.95,0.94,train,1
0.7,0.91,1.21,train,1
0.52,0.9,1.24,train,1
0.05,0.05,0.05,train,1
0.32,0.94,1.93,train,1
1.04,0.91,0.89,train,1
0.9,0.81,0.87,train,1
0.99,0.85,0.92,train,1
1,0.89,0.89,train,1
0.98,0.96,0.87,train,1
0.9,0.96,1.02,train,1
0.79,0.94,1.11,train,1
0.71,0.89,1.08,train,1
0.05,0.05,0.05,train,1
0.34,0.72,1.12,train,1
1,0.94,0.81,train,1
1.07,0.94,1,train,1
1.09,1.01,0.95,train,1
0.78,0.92,0.92,train,1
0.99,0.97,0.91,train,1
0.96,0.79,0.77,train,1
0.05,0.05,0.05,train,1
0.12,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.63,1.15,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.22,1.31,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.08,0.24,0.05,train,1
0.19,3.98,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.07,0.59,0.05,train,1
0.05,0.05,0.05,train,1
0.08,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.75,0.69,0.93,train,1
0.05,0.05,0.05,train,1
0.72,0.33,0.86,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.65,0.33,0.82,train,1
0.05,0.05,0.05,train,1
0.53,0.23,0.71,train,1
0.05,0.05,0.05,train,1
0.43,0.19,0.87,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.15,0.05,0.87,train,1
0.75,0.8,1.12,train,1
1.09,0.05,1.04,train,1
1.08,0.05,1.08,train,1
1.26,0.05,0.78,train,1
0.37,0.05,1.08,train,1
0.86,0.05,1.28,train,1
1.28,0.05,0.93,train,1
0.89,0.05,1.29,train,1
1.02,0.05,1.11,train,1
1.13,0.18,0.96,train,1
0.38,0.37,1.11,train,1
1.13,0.05,1.03,train,1
0.88,0.05,1.21,train,1
1,0.41,1.04,train,1
0.95,0.05,1.12,train,1
0.94,0.05,1.24,train,1
1.07,0.05,1.17,train,1
0.98,0.05,0.97,train,1
1.26,0.05,0.75,train,1
0.72,0.05,1.02,train,1
1.05,0.94,0.42,train,1
1.11,0.05,0.72,train,1
0.99,0.05,0.88,train,1
1.09,0.05,0.96,train,1
1.3,0.05,0.67,train,1
0.66,0.05,0.59,train,1
0.74,0.05,0.63,train,1
1.29,0.05,0.78,train,1
