ec_number,pH,temperature,turnover_number,benchmark_split,full_conditioned_split
1.1.3.7,7.0,25.0,48.29999999999999,valid,valid
3.7.1.14,8.0,25.0,4.999999999999999,train,train
2.1.1.325,7.9,25.0,0.0002169999999999,train,train
2.1.1.325,7.9,25.0,0.00075,valid,valid
2.1.1.325,7.5,25.0,0.168,train,train
1.4.1.28,9.5,23.0,2.5,train,train
4.4.1.29,7.5,37.0,3.4299999999999993e-05,train,train
4.4.1.29,7.5,37.0,1.06e-05,train,train
4.4.1.29,7.5,37.0,1.6900000000000004e-05,valid,valid
4.4.1.29,7.5,37.0,1.799999999999999e-05,train,train
4.4.1.29,7.5,37.0,2.46e-05,train,train
4.4.1.29,7.5,37.0,2.8000000000000023e-05,train,train
4.4.1.29,7.5,37.0,1.1900000000000006e-05,train,train
4.4.1.29,7.5,37.0,9.500000000000002e-06,train,train
4.4.1.29,7.5,37.0,7.299999999999994e-06,train,train
4.4.1.29,7.5,37.0,2.500000000000001e-05,train,train
4.4.1.32,8.0,37.0,0.025,train,train
1.1.1.4,7.5,25.0,2.1,train,train
1.1.1.2,7.5,80.0,739.9999999999998,train,train
1.1.1.4,6.5,55.0,4.28,train,train
4.1.3.32,7.5,25.0,0.13,train,train
4.1.3.32,7.5,25.0,9.999999999999996e-06,train,train
4.1.3.32,7.5,25.0,0.0004269999999999,train,train
4.1.3.32,7.5,25.0,0.000178,valid,valid
4.1.3.32,7.5,25.0,11.7,test,test
4.1.3.32,7.5,25.0,2.8,test,test
4.1.3.32,7.5,25.0,0.000121,train,train
4.1.3.32,7.5,25.0,0.00014,train,train
4.1.3.32,7.5,25.0,19.200000000000003,test,test
1.1.1.208,7.0,30.0,0.2,train,train
4.4.1.41,7.5,23.0,26.000000000000004,train,train
4.2.1.177,7.5,25.0,129.99999999999997,train,train
1.1.1.86,8.0,22.0,0.235,train,train
1.1.1.86,8.0,25.0,3.7000000000000006,train,train
1.1.1.86,8.0,25.0,0.0002299999999999,train,train
2.3.1.300,7.0,10.0,0.047,train,omit
2.3.1.300,7.0,30.0,0.46,train,train
4.2.1.108,8.5,15.0,7.2,train,train
1.3.8.12,7.5,30.0,82.29999999999998,train,train
2.1.1.232,8.5,30.0,25.0,train,train
1.1.1.2,7.5,80.0,512.0,train,train
1.1.1.76,8.0,25.0,0.56,train,train
1.1.1.76,8.0,25.0,0.56,train,train
1.1.1.76,8.0,25.0,11.060000000000002,valid,valid
1.1.1.76,8.0,25.0,0.81,train,train
1.1.1.76,8.0,25.0,3.51,train,train
1.17.1.8,8.0,25.0,59.99999999999999,train,train
1.17.1.8,8.0,25.0,56.00000000000002,valid,valid
1.17.1.8,8.0,25.0,17.500000000000004,train,train
6.3.3.6,7.8,22.0,0.2,train,train
1.1.1.71,10.5,60.0,2.2,train,train
6.3.3.6,7.8,22.0,0.28,train,train
5.3.2.6,7.3,23.0,0.125,valid,valid
1.13.11.80,7.5,24.0,0.17,train,train
1.13.11.80,7.4,24.0,0.0694999999999999,train,train
1.13.11.80,7.5,24.0,0.0859999999999999,train,train
1.13.11.80,7.5,24.0,0.069,train,train
1.13.11.80,7.5,24.0,0.095,train,train
1.13.11.80,7.5,24.0,0.153,train,train
1.13.11.80,7.5,24.0,0.085,test,test
1.13.11.80,7.5,24.0,0.172,train,omit
4.1.1.77,6.0,25.0,22.5,train,omit
4.1.1.77,6.5,25.0,108.4,train,train
4.1.1.77,7.0,25.0,104.2,train,omit
4.1.1.77,7.4,25.0,98.80000000000004,train,omit
4.1.1.77,8.0,25.0,21.8,train,omit
2.6.1.111,8.1,28.0,1.8,train,train
1.3.1.48,7.4,37.0,0.19,train,train
1.11.1.20,7.0,24.0,0.25,train,train
1.3.99.5,7.4,30.0,0.7,train,train
1.3.99.5,7.4,30.0,1.6,train,train
1.3.99.5,7.4,30.0,2.4,train,train
1.3.1.122,7.0,22.0,5.839999999999999,train,train
1.1.1.248,6.0,40.0,21.6,test,test
5.4.4.6,6.5,40.0,10.5,train,train
4.2.1.121,7.0,25.0,890.0,train,train
4.2.1.121,7.0,25.0,499.99999999999983,valid,valid
1.2.1.30,7.5,30.0,0.128,train,train
1.14.14.43,8.1,29.0,0.43,train,train
1.14.14.43,8.1,29.0,0.42,train,train
1.1.1.51,7.4,25.0,0.022,train,train
4.2.1.30,7.0,37.0,199.99999999999991,train,train
1.1.3.13,7.5,23.0,0.4,train,train
1.1.3.13,7.5,23.0,13.0,train,train
1.1.3.13,7.5,23.0,4.0,train,train
1.1.3.13,7.5,23.0,4.999999999999999,train,train
1.4.3.3,8.6,25.0,74.99999999999997,valid,valid
1.1.1.1,8.0,65.0,7.1000000000000005,train,train
1.1.3.41,7.5,25.0,0.1,train,train
1.1.3.41,7.5,25.0,0.74,train,train
1.1.1.91,8.3,30.0,0.0046999999999999,train,train
2.6.1.42,9.0,50.0,0.2,train,train
1.14.11.44,6.8,30.0,4.13,train,train
1.14.11.44,6.8,30.0,4.33,test,test
1.14.11.44,6.8,30.0,4.0,train,train
1.14.11.44,6.8,30.0,2.9,train,train
1.14.11.44,6.8,30.0,0.87,train,train
1.14.11.44,6.8,30.0,3.3799999999999994,test,test
1.14.11.44,6.8,30.0,4.2,train,train
1.1.1.1,7.3,30.0,1.9,train,train
1.1.1.399,8.8,37.0,0.71,train,train
1.1.1.1,10.5,65.0,1.7,train,train
1.1.1.1,10.5,65.0,1.0,train,train
1.1.1.269,7.5,30.0,1.0,train,train
1.1.1.268,7.5,30.0,1.44,train,train
1.1.1.268,7.5,30.0,1.8,train,train
1.1.1.268,7.5,30.0,2.7,valid,valid
1.1.99.39,8.75,25.0,0.8,train,train
4.2.1.167,8.0,25.0,82.00000000000001,train,train
1.1.1.268,7.5,30.0,1.7,valid,valid
1.1.1.1,10.5,65.0,1.9,train,train
1.1.1.1,10.5,65.0,1.1,train,train
1.1.1.268,7.5,30.0,1.1,train,train
1.1.1.30,9.0,25.0,0.0316666699999999,train,train
1.1.1.30,8.0,23.0,1390.0,test,test
1.1.1.30,8.0,23.0,167.00000000000006,train,train
1.1.1.30,8.0,23.0,333.0,train,train
1.1.1.30,8.0,23.0,404.00000000000017,train,train
1.1.1.30,8.0,23.0,1382.0000000000005,train,train
5.4.99.64,6.6,30.0,0.0037499999999999,train,train
5.4.99.64,6.6,30.0,0.0269999999999999,train,train
5.4.99.64,6.6,30.0,0.1714999999999999,train,train
5.4.99.64,6.6,30.0,0.0031499999999999,train,train
5.4.99.64,7.8,55.0,4.9,train,train
1.1.1.59,9.5,22.0,1.31,train,train
1.1.1.31,8.5,30.0,0.2049999999999999,valid,valid
1.1.1.169,7.5,25.0,18.2,train,train
1.1.1.169,7.5,25.0,16.600000000000005,test,test
4.1.1.33,7.0,30.0,1.640000000000001e-05,train,train
4.1.1.33,7.0,30.0,0.00134,train,train
4.1.1.33,7.0,30.0,1.8,train,train
4.1.1.33,7.0,30.0,1.14,train,train
4.1.1.33,7.0,30.0,8.8,train,train
4.1.1.33,7.0,30.0,5.3,train,train
1.5.3.6,8.0,25.0,20.0,test,test
1.5.3.6,8.0,25.0,9.3,train,train
1.5.3.6,8.0,25.0,77.00000000000001,train,train
1.1.1.209,7.0,25.0,0.45,train,train
6.3.2.1,7.8,25.0,0.035,train,train
6.3.2.1,7.8,25.0,3.4,train,train
6.3.2.1,7.8,25.0,0.063,train,train
6.3.2.1,7.8,25.0,3.4,train,train
2.7.1.33,7.6,25.0,2.12,train,train
2.7.1.33,6.0,19.85,0.071,train,omit
2.7.1.33,8.0,19.85,1.14,train,train
2.7.1.33,7.5,37.0,5.5,valid,valid
2.7.1.33,7.5,37.0,6.1,train,train
2.7.1.33,8.0,19.85,0.411,train,train
2.7.1.33,7.5,25.0,305.99999999999994,train,train
2.7.1.33,7.5,37.0,1.65,train,omit
2.7.1.33,7.6,50.0,0.29,train,train
1.1.1.4,7.5,25.0,149.99999999999997,test,test
1.4.3.3,8.0,25.0,88.00000000000003,train,train
1.14.19.50,8.0,30.0,0.035,train,train
4.2.1.114,8.5,60.0,0.37,train,train
1.1.1.121,7.4,50.0,0.17,train,train
1.1.5.12,7.4,30.0,119.99999999999996,valid,valid
1.1.1.28,6.5,30.0,0.07,test,test
5.1.2.2,7.5,25.0,21.17,train,train
5.1.2.2,7.5,25.0,11.03,valid,valid
5.1.2.2,7.5,25.0,82.00000000000001,train,train
5.1.2.2,7.5,25.0,98.00000000000004,train,train
5.1.2.2,7.5,25.0,1009.9999999999995,train,train
5.1.2.2,7.5,25.0,1150.0000000000005,train,train
5.1.2.2,7.5,25.0,101.99999999999996,train,train
5.1.2.2,7.5,25.0,105.99999999999996,train,train
5.1.2.2,7.5,25.0,304.00000000000006,train,train
5.1.2.2,7.5,25.0,33.0,train,train
5.1.2.2,7.5,25.0,4.5,train,train
5.1.2.2,7.5,25.0,240.0,train,train
5.1.2.2,7.5,25.0,53.00000000000001,train,train
5.1.2.2,7.5,25.0,299.99999999999994,train,train
5.1.2.2,7.5,25.0,13.0,train,train
5.1.2.2,7.5,25.0,654.6666666666664,test,test
4.1.2.47,4.23,25.0,9.269999999999998,train,train
4.1.2.47,4.23,25.0,12.7,valid,valid
4.1.2.47,4.23,25.0,7.979999999999999,valid,valid
4.1.2.10,4.5,25.0,0.0299999999999999,train,train
4.2.1.84,7.4,10.0,0.74,train,train
5.4.99.2,8.5,25.0,0.32,train,train
5.4.99.2,8.5,25.0,0.0119999999999999,train,train
5.4.99.2,8.5,25.0,0.25,train,train
5.4.99.2,8.5,25.0,3.9500000000000006,train,train
2.7.1.185,7.5,30.0,1.9,train,train
2.7.1.185,8.5,55.0,5.1,train,train
2.7.1.185,8.5,55.0,1.16,train,train
2.7.1.185,8.5,55.0,0.31,train,train
2.7.1.185,8.5,55.0,5.8,train,train
2.7.1.185,8.5,55.0,5.15,train,train
1.5.3.6,8.0,25.0,0.26,train,train
6.3.2.1,9.0,37.0,42.2,train,train
6.3.2.1,9.0,37.0,127.59999999999997,train,train
6.3.2.1,8.0,25.0,3.35,train,train
1.1.1.169,6.4,70.0,3.485,train,train
1.1.1.54,7.0,35.0,3.3,train,train
2.1.1.337,7.0,30.0,0.053,train,train
2.1.1.291,8.0,35.0,0.07,train,train
1.3.1.20,7.4,25.0,83.99999999999997,train,train
1.3.1.20,7.4,25.0,2520.0000000000005,train,train
1.1.1.121,7.4,50.0,0.075,train,train
1.1.1.62,7.4,25.0,0.008333333,train,train
2.6.1.62,8.0,35.0,0.1025,valid,valid
1.1.1.51,7.4,25.0,0.025,train,train
1.1.1.51,7.4,25.0,0.028,train,train
1.1.1.1,8.0,65.0,13.7,train,train
1.1.3.41,7.5,25.0,0.0004,train,train
1.1.3.41,7.5,25.0,0.0079999999999999,train,train
1.1.3.47,7.5,25.0,0.011,valid,valid
1.1.3.47,7.5,25.0,0.01,test,test
1.1.1.91,8.3,30.0,0.0419999999999999,train,train
1.1.1.91,8.3,30.0,0.0229999999999999,test,test
1.1.1.91,8.3,30.0,0.783,train,train
1.1.1.91,8.3,30.0,0.0115,train,train
1.14.14.17,7.4,37.0,0.0006666667,train,train
1.14.14.17,7.4,37.0,0.0051666669999999,train,train
5.4.99.39,7.0,30.0,0.3400000000000001,test,test
5.4.99.39,7.0,30.0,1.28e-05,train,train
5.4.99.39,7.0,30.0,0.77,train,train
1.14.11.43,6.8,30.0,4.0,train,train
1.14.11.43,6.8,30.0,3.9700000000000006,train,train
1.14.11.43,6.8,30.0,0.3499999999999999,train,train
1.14.11.43,6.8,30.0,0.7,train,train
1.14.11.43,6.8,30.0,16.83,test,test
1.1.3.2,7.0,25.0,6.599999999999999,valid,valid
1.1.1.399,8.8,37.0,0.25,train,train
1.1.3.15,7.0,22.0,0.0799999999999999,train,train
1.1.1.1,7.3,30.0,0.89,train,train
4.3.2.2,7.5,25.0,336.99999999999994,train,train
1.1.1.86,8.5,37.0,1.4,train,train
1.1.1.86,8.0,25.0,0.0002299999999999,train,train
1.1.1.86,8.0,25.0,0.0602499999999999,train,train
1.1.1.86,8.0,37.0,0.177,train,omit
1.1.1.86,8.0,60.0,0.70075,train,omit
1.1.1.86,7.0,50.0,1.3,train,train
1.1.1.86,7.0,50.0,1.09,train,train
1.1.1.86,7.0,50.0,3.81,test,test
1.1.1.86,7.0,50.0,0.77,train,train
2.6.1.30,9.0,30.0,9.000000000000002,train,train
1.1.1.1,10.5,65.0,4.8,train,train
1.1.1.1,10.5,65.0,1.2,train,train
1.1.1.269,7.5,30.0,2.6,train,train
1.1.1.268,7.5,30.0,5.75,train,train
1.1.99.39,7.4,25.0,11.000000000000002,test,test
1.3.8.4,7.4,37.0,0.3,valid,valid
1.1.1.1,10.5,65.0,6.700000000000001,train,train
1.1.1.1,10.5,65.0,2.6,train,train
1.1.1.268,7.5,30.0,2.9,train,train
3.5.3.26,8.5,30.0,72.99999999999999,train,train
3.5.3.26,8.5,30.0,492.9999999999999,train,train
3.5.3.26,8.5,30.0,761.0000000000002,test,test
5.4.99.64,6.6,30.0,0.002,train,train
5.4.99.64,6.6,30.0,0.02575,train,train
5.4.99.64,6.6,30.0,0.0619999999999999,train,train
5.4.99.64,6.6,30.0,0.0032499999999999,train,train
5.4.99.64,6.6,30.0,0.033,train,train
5.4.99.64,6.6,30.0,0.2,train,train
5.4.99.64,7.8,55.0,1.6,train,train
1.1.1.35,8.0,70.0,15.0,train,train
1.1.1.35,9.5,30.0,0.0119999999999999,test,test
1.1.1.31,8.5,40.0,3.43,train,train
1.1.1.59,9.5,22.0,2.48,train,train
1.1.1.31,8.5,30.0,1.018,valid,valid
1.1.99.31,7.5,20.0,201.0,train,train
1.1.99.31,7.5,20.0,270.00000000000006,train,train
4.1.3.39,8.0,25.0,0.38,train,train
4.1.2.52,8.0,25.0,11.8,train,train
4.1.2.52,8.0,25.0,353.5000000000001,train,train
4.1.3.39,8.0,25.0,0.41,train,train
1.5.3.5,8.0,25.0,25.800000000000004,train,train
1.5.3.5,7.4,22.0,2.5,train,train
1.5.3.5,7.4,22.0,9.000000000000002,train,train
1.5.3.5,7.4,22.0,56.00000000000002,train,train
1.5.3.5,7.0,40.0,7.300000000000001,train,omit
2.1.1.140,8.0,30.0,0.249,valid,valid
2.1.1.140,8.0,30.0,6.28,train,train
1.14.19.50,8.0,30.0,0.022,train,train
2.1.1.337,8.0,30.0,0.0003,train,train
2.1.1.337,8.0,37.0,4.0400000000000027e-05,train,omit
1.1.1.51,7.4,25.0,0.4166667,train,train
1.1.1.112,7.4,25.0,0.4166667,test,test
1.1.99.31,7.5,20.0,19.200000000000003,train,train
1.1.99.31,7.5,20.0,0.11,train,train
1.1.99.31,7.5,20.0,4.4,train,train
1.1.99.31,7.5,20.0,0.04,test,test
1.1.99.31,7.5,20.0,13.2,train,train
1.1.99.31,7.5,20.0,1.1,train,train
1.1.99.31,7.5,20.0,119.99999999999996,train,train
1.1.99.31,7.5,20.0,18.4,train,train
1.1.99.31,7.5,20.0,0.3666666666666667,valid,valid
1.1.99.31,7.5,20.0,1.52,train,train
1.1.99.31,7.5,20.0,68.33333333333333,train,train
1.1.99.31,7.5,20.0,0.27,train,train
1.1.99.31,7.5,20.0,2.8,train,train
1.1.99.31,7.5,20.0,0.05,train,train
1.1.99.31,7.5,20.0,329.99999999999994,train,train
5.1.2.2,7.5,25.0,77.00000000000001,train,train
5.1.2.2,7.5,25.0,98.00000000000004,train,train
5.1.2.2,7.5,25.0,710.0000000000002,train,train
5.1.2.2,7.5,25.0,739.9999999999998,train,train
5.1.2.2,7.5,25.0,119.99999999999996,train,train
5.1.2.2,7.5,25.0,88.99999999999999,train,train
5.1.2.2,7.5,25.0,549.9999999999998,train,train
5.1.2.2,7.5,25.0,22.000000000000004,train,train
5.1.2.2,7.5,25.0,23.0,train,train
5.1.2.2,7.5,25.0,175.99999999999991,train,train
5.1.2.2,7.5,25.0,53.00000000000001,train,train
5.1.2.2,7.5,25.0,180.0,train,train
5.1.2.2,7.5,25.0,22.000000000000004,train,train
5.1.2.2,7.5,25.0,532.9999999999999,test,test
2.1.1.140,8.0,30.0,0.436,train,train
2.1.1.140,8.0,30.0,0.00031,test,test
2.1.1.337,8.0,30.0,0.0003,train,train
2.1.1.337,8.0,37.0,0.00113,train,omit
1.1.1.21,7.5,25.0,0.0966666699999999,train,train
3.5.2.5,7.5,50.0,10.1,train,train
3.5.2.5,7.5,50.0,5.199999999999999,train,train
3.5.2.5,7.5,50.0,24.4,train,train
1.1.1.1,8.0,65.0,2.1,train,train
2.5.1.109,7.5,37.0,0.125,train,train
3.5.2.3,8.0,25.0,1.1,train,train
1.3.5.2,8.0,30.0,74.99999999999997,train,train
1.3.5.2,8.0,30.0,30.000000000000004,train,train
3.5.2.3,8.3,25.0,1.71,valid,valid
1.1.1.121,7.4,50.0,138.70000000000005,train,train
1.2.1.22,7.0,37.0,1488.6666666666663,train,train
1.2.1.22,7.0,37.0,761.5000000000001,train,train
1.1.3.2,6.5,20.0,4.999999999999999,train,train
1.1.3.2,6.5,20.0,22.000000000000004,train,train
1.1.3.2,6.5,20.0,7.499999999999999,train,train
1.1.3.2,6.5,20.0,139.99999999999994,train,train
1.1.3.2,6.5,20.0,114.00000000000004,train,omit
1.1.3.2,6.5,37.0,22.000000000000004,train,train
1.1.3.2,6.5,37.0,4.999999999999999,train,train
1.1.3.2,6.5,37.0,88.00000000000003,train,train
1.1.3.2,7.0,4.0,31.0,train,omit
1.1.3.2,7.0,25.0,279.9999999999999,train,omit
1.1.1.27,5.5,25.0,4.5000000000000016e-05,train,train
1.1.1.27,9.2,25.0,64.99999999999999,train,train
1.1.1.27,9.2,25.0,12.329999999999998,train,train
1.1.5.12,7.4,30.0,9.500000000000002,valid,valid
1.1.2.3,7.0,25.0,371.9999999999999,train,train
1.1.2.3,7.0,30.0,270.00000000000006,train,omit
1.1.1.39,7.4,30.0,37.6,train,train
1.1.1.39,7.4,30.0,37.6,valid,valid
1.1.1.40,7.4,30.0,27.0,train,train
1.1.1.38,7.4,30.0,4.999999999999999,test,test
1.1.1.40,7.4,30.0,30.000000000000004,train,train
1.1.1.38,7.4,30.0,48.99999999999999,train,train
1.1.1.37,7.5,30.0,9.909999999999998,valid,valid
1.1.1.37,7.9,25.0,8.4,valid,omit
1.1.1.37,9.5,30.0,621.0,train,train
1.1.5.4,5.5,30.0,7.349999999999999,train,train
1.1.1.39,7.2,30.0,624.9999999999998,train,train
1.1.1.37,8.5,30.0,4.71,train,train
1.1.1.37,9.6,22.0,46.99999999999999,train,train
1.1.1.40,7.0,30.0,5.949999999999999,train,train
1.1.1.40,8.0,30.0,5.6,train,train
1.1.1.40,8.0,30.0,23.200000000000003,train,train
1.1.1.40,8.0,30.0,1.1,train,train
1.1.1.40,8.0,30.0,1.6,train,train
1.1.1.40,8.0,30.0,180.0,train,omit
3.1.2.30,7.5,30.0,110.00000000000004,test,test
3.5.1.86,7.8,25.0,20.0,test,test
3.5.1.86,7.8,25.0,104.99999999999996,train,train
3.5.1.86,7.8,25.0,90.0,train,train
3.5.1.86,7.8,25.0,43.0,test,test
3.5.1.86,7.8,25.0,149.99999999999997,train,train
4.1.2.47,4.23,25.0,88.10000000000001,train,train
4.1.2.47,4.23,25.0,122.00000000000004,valid,valid
4.1.2.47,4.23,25.0,52.899999999999984,valid,valid
4.2.1.84,7.4,10.0,1.2,train,train
1.5.3.5,7.4,22.0,2.65,train,omit
1.5.3.5,7.4,22.0,1.44,train,train
1.5.3.5,7.4,22.0,0.1,train,train
1.5.3.5,7.4,37.0,1.14,train,train
1.5.3.5,7.0,40.0,2.03,train,train
2.1.1.117,8.4,35.0,0.01,train,train
1.1.1.54,7.0,35.0,2.8,train,train
1.21.3.3,9.0,37.0,0.48,train,train
1.21.3.3,9.0,37.0,103.0,train,train
2.1.1.117,8.4,35.0,0.145,train,train
2.1.1.337,7.0,30.0,0.028,train,train
2.1.1.291,8.0,35.0,0.07,train,train
2.1.1.117,8.4,35.0,0.0149999999999999,train,train
3.5.1.116,7.4,30.0,442.3333333333334,train,train
3.5.1.116,8.5,30.0,0.05,train,train
3.5.1.116,8.5,30.0,0.59,train,train
3.5.1.116,8.5,30.0,0.2299999999999999,train,train
3.5.1.116,8.5,30.0,0.37,train,train
3.5.1.116,8.5,30.0,1.43,train,omit
-,8.0,25.0,2.5,test,test
4.8.1.2,7.0,30.0,17.2,train,train
4.8.1.2,7.0,30.0,11.1,test,test
4.8.1.2,7.0,30.0,15.699999999999998,train,train
4.8.1.2,7.0,30.0,5.1,valid,valid
4.8.1.2,7.0,30.0,6.8,train,train
4.8.1.2,7.0,30.0,47.29999999999999,train,train
2.3.1.280,7.5,25.0,6.999999999999999,train,train
2.1.1.278,7.5,25.0,0.028,train,train
2.1.1.278,7.5,25.0,0.025,train,train
1.13.11.50,7.5,25.0,0.007,train,train
1.13.11.50,7.5,25.0,0.13,valid,valid
1.13.11.50,7.5,25.0,0.033,train,train
1.13.11.50,7.5,25.0,1.27,train,train
1.13.11.50,7.5,25.0,0.098,train,train
1.13.11.50,7.5,25.0,0.126,test,test
1.13.11.50,7.5,25.0,0.0739999999999999,train,train
1.13.11.50,7.5,25.0,0.1,train,train
1.13.11.50,7.5,25.0,0.05,train,train
1.13.11.50,7.5,25.0,6.599999999999999,train,train
1.13.11.50,7.5,25.0,0.0079999999999999,train,train
1.13.11.50,7.5,25.0,0.0015,train,train
1.13.11.50,7.5,25.0,0.018,train,train
1.13.11.50,7.5,25.0,0.022,train,train
1.13.11.50,7.5,25.0,0.0359999999999999,test,test
1.4.3.3,8.0,30.0,3.3,train,train
1.4.3.3,8.0,30.0,3.4200000000000004,valid,valid
1.4.3.3,8.0,30.0,0.366,train,train
1.1.1,7.0,25.0,0.5833333,train,train
1.3.1.20,7.4,25.0,0.2,valid,valid
1.4.3.4,7.8,30.0,0.4165,train,train
1.10.3.2,8.0,50.0,20.0,train,train
1.10.3.2,6.0,55.0,114.94999999999996,train,train
1.1.1.4,8.0,25.0,606.6667000000001,train,train
1.13.11.54,7.5,25.0,380.00000000000006,test,test
1.6.5.5,7.0,25.0,3.2,test,test
1.1.1.2,7.0,25.0,7.249999999999999,train,train
1.1.1,7.4,25.0,0.21,train,train
1.1.1.423,7.5,25.0,31.110000000000003,train,train
1.1.1.423,7.5,25.0,31.110000000000003,train,train
1.7.1.17,8.5,25.0,66.99999999999997,train,train
1.7.1.17,8.5,25.0,110.99999999999996,test,test
1.1.1.423,7.5,25.0,7.939999999999999,test,test
1.1.1.184,7.4,25.0,5.085,train,train
1.1.1.184,7.4,37.0,5.085,train,omit
1.14.13.212,7.5,30.0,7.479999999999999,train,train
1.1.1.1,7.5,23.0,0.0409999999999999,train,train
1.14.13.212,7.5,30.0,3.08,valid,valid
1.1.1.1,10.0,60.0,1.98,train,train
1.1.1.10,7.0,25.0,22.000000000000004,test,test
1.1.1.10,7.0,25.0,1.475,train,train
1.1.1.10,7.0,25.0,0.725,train,train
1.1.1.10,7.0,25.0,25.0,test,test
1.7.1.17,8.5,25.0,152.0,train,train
1.7.1.17,8.5,25.0,340.0000000000001,train,train
1.1.1.184,7.4,25.0,0.4,train,train
1.1.1.184,7.4,37.0,0.415,train,omit
1.18.1.2,7.0,25.0,110.00000000000004,train,train
1.8.1.9,7.0,25.0,4.6,train,train
1.6.5.5,7.5,25.0,79.99999999999997,train,train
1.6.5.2,7.2,37.0,3200.0000000000027,train,train
1.6.5.2,7.2,37.0,369.9999999999999,train,train
1.6.5.10,6.5,25.0,15832.999999999987,train,train
1.1.99.29,3.0,30.0,76.0,train,train
1.1.99.29,4.0,30.0,65.39999999999999,train,omit
1.1.3.10,4.5,30.0,477.00000000000017,train,omit
1.1.3.10,6.5,30.0,399.9999999999999,train,train
1.6.5.10,6.0,25.0,5.9,train,train
1.6.5.5,7.5,25.0,90.0,train,train
1.18.1.2,7.0,25.0,129.99999999999997,train,train
1.1.3.10,6.5,30.0,94.32,train,train
1.1.3.10,6.5,30.0,88.86000000000001,train,train
1.1.3.10,6.5,30.0,88.87500000000003,train,train
1.1.3.10,6.5,30.0,97.26,train,train
1.1.3.10,6.5,30.0,65.68500000000002,test,test
1.1.3.10,6.5,30.0,105.18500000000002,train,train
1.1.3.10,6.5,30.0,93.04500000000002,train,train
1.1.3.10,6.5,30.0,89.88500000000003,train,train
1.1.3.10,6.5,30.0,78.39499999999998,train,train
1.1.99.29,4.0,30.0,44.2,train,train
1.1.99.29,4.0,30.0,34.82,train,train
1.1.99.29,4.0,30.0,12.89,train,train
1.1.99.29,4.0,30.0,39.4425,train,train
1.6.5.5,7.5,25.0,87.0,train,train
1.1.3.10,6.5,30.0,3.8,test,test
3.1.2.28,7.0,25.0,3.165,train,train
1.1.1.292,6.5,30.0,793.35,train,train
1.1.1.292,7.0,37.0,9.3,test,test
